support,itemsets,length,itemsets_str
0.014572587510641494,"frozenset({'AIRLINE LOUNGE,METAL SIGN'})",1,"AIRLINE LOUNGE,METAL SIGN"
0.021433221493314638,frozenset({'ALARM CLOCK BAKELIKE CHOCOLATE'}),1,ALARM CLOCK BAKELIKE CHOCOLATE
0.049076067905253144,frozenset({'ALARM CLOCK BAKELIKE GREEN'}),1,ALARM CLOCK BAKELIKE GREEN
0.028544243577545196,frozenset({'ALARM CLOCK BAKELIKE IVORY'}),1,ALARM CLOCK BAKELIKE IVORY
0.022284541038609846,frozenset({'ALARM CLOCK BAKELIKE ORANGE'}),1,ALARM CLOCK BAKELIKE ORANGE
0.03921077670389103,frozenset({'ALARM CLOCK BAKELIKE PINK'}),1,ALARM CLOCK BAKELIKE PINK
0.05263157894736842,frozenset({'ALARM CLOCK BAKELIKE RED '}),1,ALARM CLOCK BAKELIKE RED 
0.013370724623165907,frozenset({'ANTIQUE GLASS DRESSING TABLE POT'}),1,ANTIQUE GLASS DRESSING TABLE POT
0.011017076468526215,frozenset({'ANTIQUE GLASS PEDESTAL BOWL'}),1,ANTIQUE GLASS PEDESTAL BOWL
0.034503480394611645,frozenset({'ANTIQUE SILVER T-LIGHT GLASS'}),1,ANTIQUE SILVER T-LIGHT GLASS
0.017376934248084532,frozenset({'ANTIQUE SILVER TEA GLASS ENGRAVED'}),1,ANTIQUE SILVER TEA GLASS ENGRAVED
0.010816765987280284,frozenset({'ANTIQUE SILVER TEA GLASS ETCHED'}),1,ANTIQUE SILVER TEA GLASS ETCHED
0.010165756923231009,frozenset({'ANTIQUE TALL SWIRLGLASS TRINKET POT'}),1,ANTIQUE TALL SWIRLGLASS TRINKET POT
0.011467775051329562,frozenset({'APPLE BATH SPONGE'}),1,APPLE BATH SPONGE
0.021883920076117985,frozenset({'AREA PATROLLED METAL SIGN'}),1,AREA PATROLLED METAL SIGN
0.07286293755320747,frozenset({'ASSORTED COLOUR BIRD ORNAMENT'}),1,ASSORTED COLOUR BIRD ORNAMENT
0.019179728579297912,frozenset({'ASSORTED COLOUR MINI CASES'}),1,ASSORTED COLOUR MINI CASES
0.02594020732134809,frozenset({'ASSORTED COLOURS SILK FAN'}),1,ASSORTED COLOURS SILK FAN
0.014722820371575943,frozenset({'BAG 125g SWIRLY MARBLES'}),1,BAG 125g SWIRLY MARBLES
0.012419249837247733,frozenset({'BAG 250g SWIRLY MARBLES'}),1,BAG 250g SWIRLY MARBLES
0.04677249737092493,frozenset({'BAKING SET 9 PIECE RETROSPOT '}),1,BAKING SET 9 PIECE RETROSPOT 
0.023286093444839503,frozenset({'BAKING SET SPACEBOY DESIGN'}),1,BAKING SET SPACEBOY DESIGN
0.017326856627773047,frozenset({'BALLOONS  WRITING SET '}),1,BALLOONS  WRITING SET 
0.013520957484100355,frozenset({'BATH BUILDING BLOCK WORD'}),1,BATH BUILDING BLOCK WORD
0.031598978416545645,frozenset({'BATHROOM METAL SIGN'}),1,BATHROOM METAL SIGN
0.010315989784165456,frozenset({'BEADED CRYSTAL HEART PINK ON STICK'}),1,BEADED CRYSTAL HEART PINK ON STICK
0.010516300265411388,frozenset({'BELLE JARDINIERE CUSHION COVER'}),1,BELLE JARDINIERE CUSHION COVER
0.022484851519855777,frozenset({'BEWARE OF THE CAT METAL SIGN '}),1,BEWARE OF THE CAT METAL SIGN 
0.019029495718363463,frozenset({'BINGO SET'}),1,BINGO SET
0.0139716560669037,frozenset({'BIRD HOUSE HOT WATER BOTTLE'}),1,BIRD HOUSE HOT WATER BOTTLE
0.013520957484100355,"frozenset({'BIRTHDAY CARD, RETRO SPOT'})",1,"BIRTHDAY CARD, RETRO SPOT"
0.015473984676248184,"frozenset({""BISCUIT TIN 50'S CHRISTMAS""})",1,BISCUIT TIN 50'S CHRISTMAS
0.013921578446592218,frozenset({'BISCUIT TIN VINTAGE CHRISTMAS'}),1,BISCUIT TIN VINTAGE CHRISTMAS
0.010165756923231009,frozenset({'BLACK KITCHEN SCALES'}),1,BLACK KITCHEN SCALES
0.01877910761680605,frozenset({'BLACK RECORD COVER FRAME'}),1,BLACK RECORD COVER FRAME
0.014622665130952978,frozenset({'BLACK/BLUE POLKADOT UMBRELLA'}),1,BLACK/BLUE POLKADOT UMBRELLA
0.018278331413691222,frozenset({'BLUE DINER WALL CLOCK'}),1,BLUE DINER WALL CLOCK
0.01953027192147829,frozenset({'BLUE HAPPY BIRTHDAY BUNTING'}),1,BLUE HAPPY BIRTHDAY BUNTING
0.030196805047824127,frozenset({'BLUE HARMONICA IN BOX '}),1,BLUE HARMONICA IN BOX 
0.01612499374029746,frozenset({'BLUE POLKADOT BOWL'}),1,BLUE POLKADOT BOWL
0.01627522660123191,frozenset({'BLUE POLKADOT CUP'}),1,BLUE POLKADOT CUP
0.010866843607591768,frozenset({'BLUE POLKADOT WRAP'}),1,BLUE POLKADOT WRAP
0.01877910761680605,frozenset({'BLUE SPOT CERAMIC DRAWER KNOB'}),1,BLUE SPOT CERAMIC DRAWER KNOB
0.02128298863238019,frozenset({'BLUE STRIPE CERAMIC DRAWER KNOB'}),1,BLUE STRIPE CERAMIC DRAWER KNOB
0.011117231709149182,frozenset({'BLUE VINTAGE SPOT BEAKER'}),1,BLUE VINTAGE SPOT BEAKER
0.01056637788572287,frozenset({'BOHEMIAN COLLAGE STATIONERY SET'}),1,BOHEMIAN COLLAGE STATIONERY SET
0.01036606740447694,frozenset({'BOTTLE BAG RETROSPOT '}),1,BOTTLE BAG RETROSPOT 
0.029395563122840404,frozenset({'BOX OF 24 COCKTAIL PARASOLS'}),1,BOX OF 24 COCKTAIL PARASOLS
0.01056637788572287,frozenset({'BOX OF 6 ASSORTED COLOUR TEASPOONS'}),1,BOX OF 6 ASSORTED COLOUR TEASPOONS
0.011017076468526215,frozenset({'BOX OF 6 CHRISTMAS CAKE DECORATIONS'}),1,BOX OF 6 CHRISTMAS CAKE DECORATIONS
0.02018128098552757,"frozenset({""BOX OF 6 MINI 50'S CRACKERS""})",1,BOX OF 6 MINI 50'S CRACKERS
0.018829185237117532,frozenset({'BOX OF 6 MINI VINTAGE CRACKERS'}),1,BOX OF 6 MINI VINTAGE CRACKERS
0.013370724623165907,frozenset({'BOX OF VINTAGE ALPHABET BLOCKS'}),1,BOX OF VINTAGE ALPHABET BLOCKS
0.011818318393509941,frozenset({'BOX OF VINTAGE JIGSAW BLOCKS '}),1,BOX OF VINTAGE JIGSAW BLOCKS 
0.012218939356001803,frozenset({'BOYS VINTAGE TIN SEASIDE BUCKET'}),1,BOYS VINTAGE TIN SEASIDE BUCKET
0.01877910761680605,frozenset({'BREAD BIN DINER STYLE IVORY'}),1,BREAD BIN DINER STYLE IVORY
0.013921578446592218,frozenset({'BREAD BIN DINER STYLE RED '}),1,BREAD BIN DINER STYLE RED 
0.011968551254444388,frozenset({'BROCADE RING PURSE '}),1,BROCADE RING PURSE 
0.012269016976313286,frozenset({'BUBBLEGUM RING ASSORTED'}),1,BUBBLEGUM RING ASSORTED
0.01322049176223146,frozenset({'BULL DOG BOTTLE OPENER'}),1,BULL DOG BOTTLE OPENER
0.017276779007461565,frozenset({'BUNDLE OF 3 ALPHABET EXERCISE BOOKS'}),1,BUNDLE OF 3 ALPHABET EXERCISE BOOKS
0.013821423205969253,frozenset({'BUNDLE OF 3 RETRO NOTE BOOKS'}),1,BUNDLE OF 3 RETRO NOTE BOOKS
0.010115679302919525,frozenset({'BUNDLE OF 3 SCHOOL EXERCISE BOOKS  '}),1,BUNDLE OF 3 SCHOOL EXERCISE BOOKS  
0.0125194050778707,frozenset({'BUTTON BOX '}),1,BUTTON BOX 
0.011117231709149182,frozenset({'CAKE PLATE LOVEBIRD WHITE'}),1,CAKE PLATE LOVEBIRD WHITE
0.013571035104411839,frozenset({'CALENDAR PAPER CUT DESIGN'}),1,CALENDAR PAPER CUT DESIGN
0.019930892883970153,frozenset({'CANDLEHOLDER PINK HANGING HEART'}),1,CANDLEHOLDER PINK HANGING HEART
0.02218438579798688,frozenset({'CARD BILLBOARD FONT'}),1,CARD BILLBOARD FONT
0.01126746457008363,frozenset({'CARD BIRTHDAY COWBOY'}),1,CARD BIRTHDAY COWBOY
0.012218939356001803,frozenset({'CARD CHRISTMAS VILLAGE'}),1,CARD CHRISTMAS VILLAGE
0.014422354649707045,frozenset({'CARD CIRCUS PARADE'}),1,CARD CIRCUS PARADE
0.015624217537182633,frozenset({'CARD DOLLY GIRL '}),1,CARD DOLLY GIRL 
0.010866843607591768,frozenset({'CARD I LOVE LONDON '}),1,CARD I LOVE LONDON 
0.013320647002854425,frozenset({'CARD MOTORBIKE SANTA'}),1,CARD MOTORBIKE SANTA
0.011768240773198458,frozenset({'CARD PARTY GAMES '}),1,CARD PARTY GAMES 
0.01342080224347739,frozenset({'CARD PSYCHEDELIC APPLES'}),1,CARD PSYCHEDELIC APPLES
0.014522509890330012,frozenset({'CARD SUKI BIRTHDAY'}),1,CARD SUKI BIRTHDAY
0.013871500826280735,frozenset({'CERAMIC CHERRY CAKE MONEY BANK'}),1,CERAMIC CHERRY CAKE MONEY BANK
0.017627322349641945,frozenset({'CERAMIC HEART FAIRY CAKE MONEY BANK'}),1,CERAMIC HEART FAIRY CAKE MONEY BANK
0.01963042716210126,frozenset({'CERAMIC STRAWBERRY CAKE MONEY BANK'}),1,CERAMIC STRAWBERRY CAKE MONEY BANK
0.012769793179428113,frozenset({'CHARLIE + LOLA RED HOT WATER BOTTLE'}),1,CHARLIE + LOLA RED HOT WATER BOTTLE
0.010716610746657319,frozenset({'CHARLIE AND LOLA FIGURES TINS'}),1,CHARLIE AND LOLA FIGURES TINS
0.015674295157494116,frozenset({'CHARLIE+LOLA PINK HOT WATER BOTTLE'}),1,CHARLIE+LOLA PINK HOT WATER BOTTLE
0.02919525264159447,frozenset({'CHARLOTTE BAG APPLES DESIGN'}),1,CHARLOTTE BAG APPLES DESIGN
0.02078221242926536,frozenset({'CHARLOTTE BAG DOLLY GIRL DESIGN'}),1,CHARLOTTE BAG DOLLY GIRL DESIGN
0.03720767189143172,frozenset({'CHARLOTTE BAG PINK POLKADOT'}),1,CHARLOTTE BAG PINK POLKADOT
0.04416846111472783,frozenset({'CHARLOTTE BAG SUKI DESIGN'}),1,CHARLOTTE BAG SUKI DESIGN
0.022284541038609846,frozenset({'CHARLOTTE BAG VINTAGE ALPHABET '}),1,CHARLOTTE BAG VINTAGE ALPHABET 
0.020131203365216083,frozenset({'CHICK GREY HOT WATER BOTTLE'}),1,CHICK GREY HOT WATER BOTTLE
0.015724372777805598,"frozenset({""CHILDREN'S APRON DOLLY GIRL ""})",1,CHILDREN'S APRON DOLLY GIRL 
0.011367619810706595,"frozenset({""CHILDREN'S SPACEBOY MUG""})",1,CHILDREN'S SPACEBOY MUG
0.018278331413691222,frozenset({'CHILDRENS APRON APPLES DESIGN'}),1,CHILDRENS APRON APPLES DESIGN
0.027642846411938506,frozenset({'CHILDRENS APRON SPACEBOY DESIGN'}),1,CHILDRENS APRON SPACEBOY DESIGN
0.014572587510641494,frozenset({'CHILDRENS CUTLERY DOLLY GIRL '}),1,CHILDRENS CUTLERY DOLLY GIRL 
0.014472432270018529,frozenset({'CHILDRENS CUTLERY POLKADOT BLUE'}),1,CHILDRENS CUTLERY POLKADOT BLUE
0.012319094596624768,frozenset({'CHILDRENS CUTLERY POLKADOT GREEN '}),1,CHILDRENS CUTLERY POLKADOT GREEN 
0.021182833391757222,frozenset({'CHILDRENS CUTLERY POLKADOT PINK'}),1,CHILDRENS CUTLERY POLKADOT PINK
0.015874605638740047,frozenset({'CHILDRENS CUTLERY RETROSPOT RED '}),1,CHILDRENS CUTLERY RETROSPOT RED 
0.018027943312133806,frozenset({'CHILDRENS CUTLERY SPACEBOY '}),1,CHILDRENS CUTLERY SPACEBOY 
0.01021583454354249,frozenset({'CHILDRENS DOLLY GIRL MUG'}),1,CHILDRENS DOLLY GIRL MUG
0.011117231709149182,frozenset({'CHILDS BREAKFAST SET SPACEBOY '}),1,CHILDS BREAKFAST SET SPACEBOY 
0.0332014622665131,frozenset({'CHILLI LIGHTS'}),1,CHILLI LIGHTS
0.015473984676248184,frozenset({'CHOCOLATE BOX RIBBONS '}),1,CHOCOLATE BOX RIBBONS 
0.04296659822725224,frozenset({'CHOCOLATE HOT WATER BOTTLE'}),1,CHOCOLATE HOT WATER BOTTLE
0.023436326305773948,frozenset({'CHOCOLATE THIS WAY METAL SIGN'}),1,CHOCOLATE THIS WAY METAL SIGN
0.02724222544944664,frozenset({'CHRISTMAS CRAFT LITTLE FRIENDS'}),1,CHRISTMAS CRAFT LITTLE FRIENDS
0.022885472482347638,frozenset({'CHRISTMAS CRAFT TREE TOP ANGEL'}),1,CHRISTMAS CRAFT TREE TOP ANGEL
0.018879262857429014,frozenset({'CHRISTMAS CRAFT WHITE FAIRY '}),1,CHRISTMAS CRAFT WHITE FAIRY 
0.012619560318493666,frozenset({'CHRISTMAS HANGING STAR WITH BELL'}),1,CHRISTMAS HANGING STAR WITH BELL
0.015574139916871151,frozenset({'CHRISTMAS LIGHTS 10 REINDEER'}),1,CHRISTMAS LIGHTS 10 REINDEER
0.010466222645099905,frozenset({'CHRISTMAS LIGHTS 10 VINTAGE BAUBLES'}),1,CHRISTMAS LIGHTS 10 VINTAGE BAUBLES
0.012118784115378837,frozenset({'CHRISTMAS PUDDING TRINKET POT '}),1,CHRISTMAS PUDDING TRINKET POT 
0.01001552406229656,frozenset({'CHRISTMAS RETROSPOT ANGEL WOOD'}),1,CHRISTMAS RETROSPOT ANGEL WOOD
0.013120336521608492,frozenset({'CHRISTMAS STAR WISH LIST CHALKBOARD'}),1,CHRISTMAS STAR WISH LIST CHALKBOARD
0.012419249837247733,frozenset({'CHRISTMAS TOILET ROLL'}),1,CHRISTMAS TOILET ROLL
0.01988081526365867,frozenset({'CIRCUS PARADE LUNCH BOX '}),1,CIRCUS PARADE LUNCH BOX 
0.01126746457008363,frozenset({'CITRONELLA CANDLE GARDEN POT'}),1,CITRONELLA CANDLE GARDEN POT
0.01627522660123191,frozenset({'CLASSIC CAFE SUGAR DISPENSER'}),1,CLASSIC CAFE SUGAR DISPENSER
0.015073363713756322,frozenset({'CLASSIC GLASS COOKIE JAR'}),1,CLASSIC GLASS COOKIE JAR
0.014522509890330012,frozenset({'CLASSIC METAL BIRDCAGE PLANT HOLDER'}),1,CLASSIC METAL BIRDCAGE PLANT HOLDER
0.022084230557363915,frozenset({'CLEAR DRAWER KNOB ACRYLIC EDWARDIAN'}),1,CLEAR DRAWER KNOB ACRYLIC EDWARDIAN
0.03865992288046472,frozenset({'CLOTHES PEGS RETROSPOT PACK 24 '}),1,CLOTHES PEGS RETROSPOT PACK 24 
0.01307025890129701,frozenset({'COFFEE MUG APPLES DESIGN'}),1,COFFEE MUG APPLES DESIGN
0.012769793179428113,frozenset({'COFFEE MUG CAT + BIRD DESIGN'}),1,COFFEE MUG CAT + BIRD DESIGN
0.010616455506034354,frozenset({'COFFEE MUG PEARS  DESIGN'}),1,COFFEE MUG PEARS  DESIGN
0.031098202213430817,frozenset({'COLOUR GLASS T-LIGHT HOLDER HANGING'}),1,COLOUR GLASS T-LIGHT HOLDER HANGING
0.01322049176223146,frozenset({'COLOUR GLASS. STAR T-LIGHT HOLDER'}),1,COLOUR GLASS. STAR T-LIGHT HOLDER
0.016575692323100806,frozenset({'COLOURING PENCILS BROWN TUBE'}),1,COLOURING PENCILS BROWN TUBE
0.03620611948520206,frozenset({'COOK WITH WINE METAL SIGN '}),1,COOK WITH WINE METAL SIGN 
0.013721267965346286,frozenset({'COWBOYS AND INDIANS BIRTHDAY CARD '}),1,COWBOYS AND INDIANS BIRTHDAY CARD 
0.014222044168461115,frozenset({'CREAM CUPID HEARTS COAT HANGER'}),1,CREAM CUPID HEARTS COAT HANGER
0.026240673043216985,frozenset({'CREAM HEART CARD HOLDER'}),1,CREAM HEART CARD HOLDER
0.025990284941659572,frozenset({'CREAM SWEETHEART MINI CHEST'}),1,CREAM SWEETHEART MINI CHEST
0.011668085532575492,frozenset({'DECORATIVE WICKER HEART LARGE'}),1,DECORATIVE WICKER HEART LARGE
0.010816765987280284,frozenset({'DECORATIVE WICKER HEART MEDIUM'}),1,DECORATIVE WICKER HEART MEDIUM
0.016425459462166357,frozenset({'DELUXE SEWING KIT '}),1,DELUXE SEWING KIT 
0.010716610746657319,frozenset({'DINOSAUR LUNCH BOX WITH CUTLERY'}),1,DINOSAUR LUNCH BOX WITH CUTLERY
0.014372277029395563,frozenset({'DINOSAURS  WRITING SET '}),1,DINOSAURS  WRITING SET 
0.0107666883669688,frozenset({'DISCO BALL CHRISTMAS DECORATION'}),1,DISCO BALL CHRISTMAS DECORATION
0.04256597726476038,frozenset({'DOLLY GIRL LUNCH BOX'}),1,DOLLY GIRL LUNCH BOX
0.011718163152886974,frozenset({'DOORMAT 3 SMILEY CATS'}),1,DOORMAT 3 SMILEY CATS
0.011167309329460664,frozenset({'DOORMAT AIRMAIL '}),1,DOORMAT AIRMAIL 
0.02058190194801943,frozenset({'DOORMAT ENGLISH ROSE '}),1,DOORMAT ENGLISH ROSE 
0.018278331413691222,frozenset({'DOORMAT FAIRY CAKE'}),1,DOORMAT FAIRY CAKE
0.025138965396364364,frozenset({'DOORMAT FANCY FONT HOME SWEET HOME'}),1,DOORMAT FANCY FONT HOME SWEET HOME
0.0296960288447093,frozenset({'DOORMAT HEARTS'}),1,DOORMAT HEARTS
0.01432219940908408,frozenset({'DOORMAT HOME SWEET HOME BLUE '}),1,DOORMAT HOME SWEET HOME BLUE 
0.03645650758675948,frozenset({'DOORMAT KEEP CALM AND COME IN'}),1,DOORMAT KEEP CALM AND COME IN
0.010065601682608042,frozenset({'DOORMAT MULTICOLOUR STRIPE'}),1,DOORMAT MULTICOLOUR STRIPE
0.030046572186889678,frozenset({'DOORMAT NEW ENGLAND'}),1,DOORMAT NEW ENGLAND
0.03490410135710351,frozenset({'DOORMAT RED RETROSPOT'}),1,DOORMAT RED RETROSPOT
0.024037257749511744,frozenset({'DOORMAT SPOTTY HOME SWEET HOME'}),1,DOORMAT SPOTTY HOME SWEET HOME
0.010265912163853974,frozenset({'DOORMAT TOPIARY'}),1,DOORMAT TOPIARY
0.030847814111873404,frozenset({'DOORMAT UNION FLAG'}),1,DOORMAT UNION FLAG
0.010315989784165456,frozenset({'DOORMAT UNION JACK GUNS AND ROSES'}),1,DOORMAT UNION JACK GUNS AND ROSES
0.014372277029395563,frozenset({'DOORMAT WELCOME PUPPIES'}),1,DOORMAT WELCOME PUPPIES
0.022434773899544295,frozenset({'DOORMAT WELCOME TO OUR HOME'}),1,DOORMAT WELCOME TO OUR HOME
0.014822975612198908,frozenset({'DOORSTOP RETROSPOT HEART'}),1,DOORSTOP RETROSPOT HEART
0.017226701387150083,frozenset({'DOUGHNUT LIP GLOSS '}),1,DOUGHNUT LIP GLOSS 
0.019179728579297912,frozenset({'EDWARDIAN PARASOL BLACK'}),1,EDWARDIAN PARASOL BLACK
0.02704191496820071,frozenset({'EDWARDIAN PARASOL NATURAL'}),1,EDWARDIAN PARASOL NATURAL
0.016325304221543394,frozenset({'EDWARDIAN PARASOL RED'}),1,EDWARDIAN PARASOL RED
0.01056637788572287,frozenset({'EMBOSSED GLASS TEALIGHT HOLDER'}),1,EMBOSSED GLASS TEALIGHT HOLDER
0.012269016976313286,frozenset({'EMERGENCY FIRST AID TIN '}),1,EMERGENCY FIRST AID TIN 
0.02273523962141319,frozenset({'ENAMEL BREAD BIN CREAM'}),1,ENAMEL BREAD BIN CREAM
0.025489508738544744,frozenset({'ENAMEL FLOWER JUG CREAM'}),1,ENAMEL FLOWER JUG CREAM
0.018829185237117532,frozenset({'ENAMEL MEASURING JUG CREAM'}),1,ENAMEL MEASURING JUG CREAM
0.010516300265411388,frozenset({'ENAMEL WASH BOWL CREAM'}),1,ENAMEL WASH BOWL CREAM
0.012068706495067354,frozenset({'ENCHANTED BIRD COATHANGER 5 HOOK'}),1,ENCHANTED BIRD COATHANGER 5 HOOK
0.010616455506034354,frozenset({'ENGLISH ROSE GARDEN SECATEURS'}),1,ENGLISH ROSE GARDEN SECATEURS
0.01877910761680605,frozenset({'ENGLISH ROSE HOT WATER BOTTLE'}),1,ENGLISH ROSE HOT WATER BOTTLE
0.017276779007461565,frozenset({'ENGLISH ROSE NOTEBOOK A7 SIZE'}),1,ENGLISH ROSE NOTEBOOK A7 SIZE
0.013120336521608492,frozenset({'FAIRY CAKE FLANNEL ASSORTED COLOUR'}),1,FAIRY CAKE FLANNEL ASSORTED COLOUR
0.0186288747558716,frozenset({'FAMILY ALBUM WHITE PICTURE FRAME'}),1,FAMILY ALBUM WHITE PICTURE FRAME
0.013020181280985527,frozenset({'FAMILY PHOTO FRAME CORNICE'}),1,FAMILY PHOTO FRAME CORNICE
0.016175071360608945,"frozenset({'FANCY FONT BIRTHDAY CARD, '})",1,"FANCY FONT BIRTHDAY CARD, "
0.011517852671641043,frozenset({'FANCY FONTS BIRTHDAY WRAP'}),1,FANCY FONTS BIRTHDAY WRAP
0.024538033952626572,frozenset({'FAWN BLUE HOT WATER BOTTLE'}),1,FAWN BLUE HOT WATER BOTTLE
0.011968551254444388,"frozenset({'FEATHER PEN,HOT PINK'})",1,"FEATHER PEN,HOT PINK"
0.02739245831038109,frozenset({'FELTCRAFT 6 FLOWER FRIENDS'}),1,FELTCRAFT 6 FLOWER FRIENDS
0.024087335369823226,frozenset({'FELTCRAFT BUTTERFLY HEARTS'}),1,FELTCRAFT BUTTERFLY HEARTS
0.016074916119985978,frozenset({'FELTCRAFT CHRISTMAS FAIRY'}),1,FELTCRAFT CHRISTMAS FAIRY
0.017427011868396014,frozenset({'FELTCRAFT CUSHION BUTTERFLY'}),1,FELTCRAFT CUSHION BUTTERFLY
0.023536481546396915,frozenset({'FELTCRAFT CUSHION OWL'}),1,FELTCRAFT CUSHION OWL
0.01932996144023236,frozenset({'FELTCRAFT CUSHION RABBIT'}),1,FELTCRAFT CUSHION RABBIT
0.013370724623165907,frozenset({'FELTCRAFT DOLL EMILY'}),1,FELTCRAFT DOLL EMILY
0.016575692323100806,frozenset({'FELTCRAFT DOLL MOLLY'}),1,FELTCRAFT DOLL MOLLY
0.015073363713756322,frozenset({'FELTCRAFT DOLL ROSIE'}),1,FELTCRAFT DOLL ROSIE
0.01377134558565777,frozenset({'FELTCRAFT GIRL AMELIE KIT'}),1,FELTCRAFT GIRL AMELIE KIT
0.022484851519855777,frozenset({'FELTCRAFT PRINCESS CHARLOTTE DOLL'}),1,FELTCRAFT PRINCESS CHARLOTTE DOLL
0.020682057188642397,frozenset({'FELTCRAFT PRINCESS LOLA DOLL'}),1,FELTCRAFT PRINCESS LOLA DOLL
0.014522509890330012,frozenset({'FELTCRAFT PRINCESS OLIVIA DOLL'}),1,FELTCRAFT PRINCESS OLIVIA DOLL
0.010616455506034354,frozenset({'FILIGRIS HEART WITH BUTTERFLY'}),1,FILIGRIS HEART WITH BUTTERFLY
0.011868396013821423,frozenset({'FINE WICKER HEART '}),1,FINE WICKER HEART 
0.02128298863238019,frozenset({'FLORAL FOLK STATIONERY SET'}),1,FLORAL FOLK STATIONERY SET
