CustomerID,Recency,Frequency,Monetary,Country,UniqueProducts,TotalQuantity,AvgTransactionValue,R_Score,F_Score,M_Score,RFM_Score,RFM_Total,Segment
12409,79,7,11056.93,Switzerland,91,5543,1579.5614285714287,2,4,4,244,10,Needs Attention
12410,301,3,681.0799999999999,Switzerland,26,209,227.02666666666664,1,2,3,123,6,Hibernating
12412,75,3,1226.88,Denmark,43,829,408.96000000000004,2,2,3,223,7,Needs Attention
12413,67,5,694.15,France,29,282,138.82999999999998,2,3,3,233,8,Needs Attention
12414,217,3,562.41,Austria,16,300,187.47,1,2,2,122,5,Hibernating
12415,24,26,123725.45,Australia,444,77242,4758.671153846154,3,4,4,344,11,Loyal Customers
12417,3,12,3578.8,Belgium,158,1539,298.23333333333335,4,4,4,444,12,Champions
12418,113,1,668.58,Switzerland,34,407,668.58,2,1,3,213,6,Hibernating
12420,64,1,600.39,Cyprus,29,345,600.39,2,1,2,212,5,Hibernating
12421,16,5,806.27,Spain,33,483,161.254,4,3,3,433,10,Champions
12422,96,3,803.5600000000001,Australia,39,370,267.85333333333335,2,2,3,223,7,Needs Attention
12423,1,9,1849.11,Belgium,97,1327,205.45666666666665,4,4,4,444,12,Champions
12424,163,2,1760.96,Australia,30,740,880.48,1,2,4,124,7,Hibernating
12425,78,1,777.2,Portugal,36,496,777.2,2,1,3,213,6,Hibernating
12426,195,1,582.73,Germany,30,258,582.73,1,1,2,112,4,Hibernating
12427,12,5,708.37,Germany,26,236,141.674,4,3,3,433,10,Champions
12428,26,12,7877.2,Finland,258,3503,656.4333333333333,3,4,4,344,11,Loyal Customers
12429,9,4,3750.4,Denmark,82,1557,937.6,4,3,4,434,11,Champions
12430,43,1,256.4,Norway,11,117,256.4,3,1,1,311,5,Promising
12431,36,18,6416.39,Australia,163,2868,356.4661111111111,3,4,4,344,11,Loyal Customers
12432,43,5,5059.32,Norway,107,1801,1011.8639999999999,3,3,4,334,10,Loyal Customers
12433,1,7,13375.87,Norway,219,11071,1910.8385714285716,4,4,4,444,12,Champions
12434,85,4,765.19,Australia,49,373,191.2975,2,3,3,233,8,Needs Attention
12435,80,2,7829.89,Denmark,31,2055,3914.945,2,2,4,224,8,Needs Attention
12436,100,1,509.01,Norway,16,211,509.01,2,1,2,212,5,Hibernating
12437,2,19,4896.66,France,119,2918,257.718947368421,4,4,4,444,12,Champions
12438,14,2,2906.85,Norway,84,1180,1453.425,4,2,4,424,10,Champions
12441,367,1,173.55,France,11,121,173.55,1,1,1,111,3,Hibernating
12442,3,1,172.06,Spain,12,182,172.06,4,1,1,411,6,Promising
12444,21,5,5005.46,Norway,138,1155,1001.092,3,3,4,334,10,Loyal Customers
12445,22,1,133.4,Spain,4,62,133.4,3,1,1,311,5,Promising
12446,58,1,1002.3100000000001,RSA,58,352,1002.3100000000001,2,1,3,213,6,Hibernating
12447,243,1,476.49,Belgium,26,190,476.49,1,1,2,112,4,Hibernating
12448,44,1,449.45,Spain,22,243,449.45,3,1,2,312,6,Promising
12449,22,4,4067.29,Belgium,118,1553,1016.8225,3,3,4,334,10,Loyal Customers
12450,156,2,197.88,Spain,7,128,98.94,1,2,1,121,4,Hibernating
12451,11,6,8933.52,Switzerland,265,6455,1488.92,4,4,4,444,12,Champions
12452,17,3,428.57,Switzerland,21,183,142.85666666666665,4,2,2,422,8,Potential Loyalists
12453,134,1,707.09,Austria,43,473,707.09,2,1,3,213,6,Hibernating
12454,53,2,5.684341886080802e-14,Spain,15,0,2.842170943040401e-14,2,2,1,221,5,Hibernating
12455,73,6,2466.86,Cyprus,85,2089,411.1433333333334,2,4,4,244,10,Needs Attention
12456,44,4,3153.89,Switzerland,105,1616,788.4725,3,3,4,334,10,Loyal Customers
12457,58,12,1917.78,Switzerland,53,695,159.815,2,4,4,244,10,Needs Attention
12458,71,2,947.4,Switzerland,35,506,473.7,2,2,3,223,7,Needs Attention
12461,94,2,826.88,Switzerland,35,287,413.44,2,2,3,223,7,Needs Attention
12462,2,4,1124.01,Spain,51,514,281.0025,4,3,3,433,10,Champions
12463,46,7,1303.63,Belgium,66,757,186.23285714285717,3,4,3,343,10,Loyal Customers
12464,10,8,1212.05,Belgium,6,112,151.50625,4,4,3,443,11,Champions
12465,8,3,733.89,Belgium,46,475,244.63,4,2,3,423,9,Champions
12468,143,3,724.0400000000001,Germany,36,364,241.3466666666667,2,2,3,223,7,Needs Attention
12471,2,49,18740.92,Germany,152,7965,382.46775510204077,4,4,4,444,12,Champions
12472,31,13,6229.48,Germany,226,4020,479.1907692307692,3,4,4,344,11,Loyal Customers
12473,29,9,2848.23,Germany,140,2363,316.47,3,4,4,344,11,Loyal Customers
12474,17,30,7116.47,Germany,253,4764,237.21566666666666,4,4,4,444,12,Champions
12475,54,1,723.38,Germany,36,535,723.38,2,1,3,213,6,Hibernating
12476,1,20,6546.58,Germany,177,2337,327.329,4,4,4,444,12,Champions
12477,23,9,13117.01,Germany,192,3620,1457.4455555555555,3,4,4,344,11,Loyal Customers
12478,4,1,680.99,Greece,36,236,680.99,4,1,3,413,8,Champions
12479,4,3,477.3,Germany,31,351,159.1,4,2,2,422,8,Potential Loyalists
12480,28,4,3281.63,Germany,129,1707,820.4075,3,3,4,334,10,Loyal Customers
12481,23,11,5590.86,Germany,150,3290,508.26,3,4,4,344,11,Loyal Customers
12483,17,13,2327.13,Sweden,46,1097,179.01000000000002,4,4,4,444,12,Champions
12484,33,8,4495.27,Spain,256,2185,561.90875,3,4,4,344,11,Loyal Customers
12488,10,3,1298.66,France,46,529,432.8866666666667,4,2,3,423,9,Champions
12489,336,1,334.93,France,15,105,334.93,1,1,2,112,4,Hibernating
12490,5,10,5417.93,France,131,3064,541.793,4,4,4,444,12,Champions
12491,39,1,460.40000000000003,France,25,260,460.40000000000003,3,1,2,312,6,Promising
12492,63,2,263.21000000000004,Germany,19,192,131.60500000000002,2,2,1,221,5,Hibernating
12493,166,3,416.79,France,20,206,138.93,1,2,2,122,5,Hibernating
12494,10,13,1139.3500000000001,France,63,690,87.6423076923077,4,4,3,443,11,Champions
12497,82,1,1043.1,Germany,14,1236,1043.1,2,1,3,213,6,Hibernating
12498,21,3,403.70000000000005,Germany,21,159,134.5666666666667,3,2,2,322,7,Promising
12500,23,13,4206.27,Germany,34,2671,323.5592307692308,3,4,4,344,11,Loyal Customers
12501,315,2,2089.68,Germany,149,1722,1044.84,1,2,4,124,7,Hibernating
12502,96,5,3723.87,Spain,102,820,744.774,2,3,4,234,9,Needs Attention
12503,338,1,-1126.0,Spain,1,-1,-1126.0,1,1,1,111,3,Hibernating
12504,18,4,114.0,Germany,6,51,28.5,3,3,1,331,7,Others
12505,301,1,-4.5,Italy,1,-1,-4.5,1,1,1,111,3,Hibernating
12506,233,1,73.5,France,23,23,73.5,1,1,1,111,3,Hibernating
12507,134,4,1258.06,Spain,19,894,314.515,2,3,3,233,8,Needs Attention
12508,26,2,398.27,France,57,272,199.135,3,2,2,322,7,Promising
12509,284,1,176.5,France,7,55,176.5,1,1,1,111,3,Hibernating
12510,143,2,982.5699999999999,Spain,29,353,491.28499999999997,2,2,3,223,7,Needs Attention
12512,66,2,138.03,Israel,31,99,69.015,2,2,1,221,5,Hibernating
12513,85,2,586.79,France,35,456,293.395,2,2,2,222,6,Needs Attention
12514,267,1,1017.68,Italy,51,440,1017.68,1,1,3,113,5,Hibernating
12515,353,1,383.7,Italy,16,131,383.7,1,1,2,112,4,Hibernating
12516,78,2,1312.06,Germany,20,875,656.03,2,2,3,223,7,Needs Attention
12517,28,6,2464.89,Germany,232,1348,410.815,3,4,4,344,11,Loyal Customers
12518,1,5,2056.89,Germany,84,1318,411.378,4,3,4,434,11,Champions
12519,64,1,340.84,Germany,17,183,340.84,2,1,2,212,5,Hibernating
12520,79,6,2582.51,Germany,121,1430,430.41833333333335,2,4,4,244,10,Needs Attention
12521,143,1,599.68,Germany,38,309,599.68,2,1,2,212,5,Hibernating
12522,39,2,192.72,Germany,11,194,96.36,3,2,1,321,6,Promising
12523,2,13,1745.57,France,84,861,134.27461538461537,4,4,4,444,12,Champions
12524,9,8,4485.72,Germany,113,3699,560.715,4,4,4,444,12,Champions
12526,1,3,1316.66,Germany,64,632,438.8866666666667,4,2,3,423,9,Champions
12527,82,3,348.71000000000004,Germany,18,234,116.23666666666668,2,2,2,222,6,Needs Attention
12528,9,8,1922.28,Germany,50,750,240.285,4,4,4,444,12,Champions
12530,60,5,1623.63,Germany,51,900,324.726,2,3,4,234,9,Needs Attention
12531,15,1,125.22,Germany,17,45,125.22,4,1,1,411,6,Promising
12532,30,1,349.83000000000004,France,16,153,349.83000000000004,3,1,2,312,6,Promising
12534,131,1,1089.18,Germany,63,651,1089.18,2,1,3,213,6,Hibernating
12535,92,2,716.35,France,28,219,358.175,2,2,3,223,7,Needs Attention
12536,8,5,4106.82,France,260,2652,821.3639999999999,4,3,4,434,11,Champions
12538,29,1,363.95,Spain,21,191,363.95,3,1,2,312,6,Promising
12539,22,5,3852.5,Spain,158,2066,770.5,3,3,4,334,10,Loyal Customers
12540,20,19,13309.039999999999,Spain,278,6677,700.4757894736841,3,4,4,344,11,Loyal Customers
12541,30,3,981.18,Spain,46,680,327.06,3,2,3,323,8,Needs Attention
12544,30,2,355.7,Spain,19,132,177.85,3,2,2,322,7,Promising
12545,75,2,1000.39,Spain,42,523,500.195,2,2,3,223,7,Needs Attention
12546,47,3,1141.5,Spain,59,617,380.5,3,2,3,323,8,Needs Attention
12547,198,2,207.79999999999998,Spain,7,134,103.89999999999999,1,2,1,121,4,Hibernating
12548,166,1,95.19999999999999,Spain,5,49,95.19999999999999,1,1,1,111,3,Hibernating
12550,79,1,964.83,Spain,57,569,964.83,2,1,3,213,6,Hibernating
12551,358,1,168.0,Spain,10,100,168.0,1,1,1,111,3,Hibernating
12552,39,2,437.82,Italy,20,88,218.91,3,2,2,322,7,Promising
12553,8,14,3652.25,France,95,1924,260.875,4,4,4,444,12,Champions
12556,50,2,603.71,Spain,100,358,301.855,3,2,2,322,7,Promising
12557,16,5,11990.960000000001,Spain,15,4384,2398.192,4,3,4,434,11,Champions
12558,2,2,1.0658141036401503e-14,USA,11,0,5.329070518200751e-15,4,2,1,421,7,Potential Loyalists
12559,311,3,536.21,Germany,21,281,178.73666666666668,1,2,2,122,5,Hibernating
12560,5,4,2101.39,Germany,92,1078,525.3475,4,3,4,434,11,Champions
12561,303,1,238.85,Germany,16,177,238.85,1,1,1,111,3,Hibernating
12562,8,7,3781.7400000000002,France,99,1779,540.2485714285715,4,4,4,444,12,Champions
12564,261,1,456.9,France,21,133,456.9,1,1,2,112,4,Hibernating
12565,282,2,131.17,Saudi Arabia,9,75,65.585,1,2,1,121,4,Hibernating
12566,73,2,346.7,Germany,19,264,173.35,2,2,2,222,6,Needs Attention
12567,23,11,9114.94,France,323,4089,828.6309090909091,3,4,4,344,11,Loyal Customers
12569,2,35,4064.9900000000002,Germany,92,1793,116.14257142857143,4,4,4,444,12,Champions
12571,40,2,519.61,France,31,523,259.805,3,2,2,322,7,Promising
12572,9,3,1004.72,Germany,53,450,334.9066666666667,4,2,3,423,9,Champions
12573,227,1,160.54000000000002,France,26,84,160.54000000000002,1,1,1,111,3,Hibernating
12574,316,1,218.45,France,11,61,218.45,1,1,1,111,3,Hibernating
12576,36,6,1306.98,Poland,72,964,217.83,3,4,3,343,10,Loyal Customers
12577,35,4,595.4,France,137,466,148.85,3,3,2,332,8,Needs Attention
12578,21,4,2753.36,Italy,112,1171,688.34,3,3,4,334,10,Loyal Customers
12579,73,3,410.72,France,29,278,136.90666666666667,2,2,2,222,6,Needs Attention
12580,247,1,415.7,Germany,24,238,415.7,1,1,2,112,4,Hibernating
12581,40,1,197.71,Germany,15,161,197.71,3,1,1,311,5,Promising
12582,239,2,511.36,Finland,21,300,255.68,1,2,2,122,5,Hibernating
12583,3,18,7187.34,France,115,5009,399.2966666666667,4,4,4,444,12,Champions
12584,4,18,1893.95,Italy,44,354,105.21944444444445,4,4,4,444,12,Champions
12585,234,4,1982.81,Germany,77,1258,495.7025,1,3,4,134,8,At Risk
12586,17,2,179.94000000000003,Italy,12,77,89.97000000000001,4,2,1,421,7,Potential Loyalists
12587,8,1,144.0,Finland,4,51,144.0,4,1,1,411,6,Promising
12588,39,1,214.89999999999998,Finland,10,53,214.89999999999998,3,1,1,311,5,Promising
12589,29,2,646.68,France,29,306,323.34,3,2,2,322,7,Promising
12590,190,3,9861.38,Germany,68,4279,3287.1266666666666,1,2,4,124,7,Hibernating
12591,317,1,452.84999999999997,Italy,26,228,452.84999999999997,1,1,2,112,4,Hibernating
12592,92,2,437.6,Germany,11,290,218.8,2,2,2,222,6,Needs Attention
12593,109,3,418.09999999999997,France,14,206,139.36666666666665,2,2,2,222,6,Needs Attention
12594,38,11,3320.2200000000003,Italy,50,1776,301.83818181818185,3,4,4,344,11,Loyal Customers
12596,51,2,618.27,Spain,25,474,309.135,2,2,2,222,6,Needs Attention
12597,19,5,3683.13,Spain,184,2187,736.626,3,3,4,334,10,Loyal Customers
12598,10,9,3002.68,France,84,1940,333.63111111111107,4,4,4,444,12,Champions
12599,29,7,1032.58,France,32,956,147.51142857142855,3,4,3,343,10,Loyal Customers
12600,29,11,2581.04,Germany,32,773,234.64,3,4,4,344,11,Loyal Customers
12601,190,6,569.5600000000001,Germany,21,244,94.92666666666668,1,4,2,142,7,Others
12602,59,1,153.12,France,12,162,153.12,2,1,1,211,4,Hibernating
12603,22,1,739.1999999999999,Germany,3,64,739.1999999999999,3,1,3,313,7,Others
12604,79,2,254.18,France,15,201,127.09,2,2,1,221,5,Hibernating
12605,365,1,-7.5,Germany,3,-4,-7.5,1,1,1,111,3,Hibernating
12607,58,2,3.552713678800501e-15,USA,101,0,1.7763568394002505e-15,2,2,1,221,5,Hibernating
12609,78,3,1126.85,Germany,57,648,375.6166666666666,2,2,3,223,7,Needs Attention
12610,23,7,2057.99,Italy,85,1028,293.9985714285714,3,4,4,344,11,Loyal Customers
12611,52,1,1193.32,Italy,65,846,1193.32,2,1,3,213,6,Hibernating
12612,58,2,643.59,Germany,19,251,321.795,2,2,2,222,6,Needs Attention
12613,31,6,3218.98,Germany,124,1596,536.4966666666667,3,4,4,344,11,Loyal Customers
12614,278,1,315.6,Germany,20,76,315.6,1,1,2,112,4,Hibernating
12615,2,4,2291.19,France,82,1376,572.7975,4,3,4,434,11,Champions
12616,85,5,657.25,France,25,273,131.45,2,3,3,233,8,Needs Attention
12617,29,1,355.53,France,39,213,355.53,3,1,2,312,6,Promising
12618,22,1,177.31,Italy,11,96,177.31,3,1,1,311,5,Promising
12619,16,13,3214.81,Germany,50,3354,247.2930769230769,4,4,4,444,12,Champions
12620,15,3,1339.41,France,89,1181,446.47,4,2,3,423,9,Champions
12621,2,23,13612.07,Germany,261,7404,591.8291304347825,4,4,4,444,12,Champions
12622,232,1,180.1,Germany,11,69,180.1,1,1,1,111,3,Hibernating
12623,276,1,305.1,Germany,18,191,305.1,1,1,2,112,4,Hibernating
12624,106,2,641.13,France,36,355,320.565,2,2,2,222,6,Needs Attention
12625,212,3,2614.32,Germany,74,1577,871.44,1,2,4,124,7,Hibernating
12626,23,13,6388.35,Germany,232,3350,491.4115384615385,3,4,4,344,11,Loyal Customers
12627,11,7,4478.53,Germany,162,2752,639.79,4,4,4,444,12,Champions
12628,4,4,769.61,Germany,34,445,192.4025,4,3,3,433,10,Champions
12630,10,2,1270.88,Finland,60,548,635.44,4,2,3,423,9,Champions
12631,57,1,640.5,Finland,31,236,640.5,2,1,2,212,5,Hibernating
12633,59,5,2140.63,Germany,73,1149,428.12600000000003,2,3,4,234,9,Needs Attention
12635,90,2,1689.18,Germany,96,1172,844.59,2,2,4,224,8,Needs Attention
12637,67,10,5953.25,France,205,2990,595.325,2,4,4,244,10,Needs Attention
12638,33,1,671.69,Sweden,39,577,671.69,3,1,3,313,7,Others
12639,239,1,486.1,Sweden,22,201,486.1,1,1,2,112,4,Hibernating
12640,24,3,1174.58,France,47,311,391.52666666666664,3,2,3,323,8,Needs Attention
12641,115,1,185.9,Sweden,10,72,185.9,2,1,1,211,4,Hibernating
12642,25,3,1013.26,Germany,39,552,337.75333333333333,3,2,3,323,8,Needs Attention
12643,128,6,3344.64,France,11,1808,557.4399999999999,2,4,4,244,10,Needs Attention
12644,130,1,477.91,Germany,31,325,477.91,2,1,2,212,5,Hibernating
12645,34,5,1755.38,Germany,58,1072,351.076,3,3,4,334,10,Loyal Customers
12646,5,2,1346.97,USA,43,897,673.485,4,2,3,423,9,Champions
12647,22,13,3669.92,Germany,79,1420,282.3015384615385,3,4,4,344,11,Loyal Customers
12648,155,1,318.05,Germany,21,160,318.05,1,1,2,112,4,Hibernating
12649,107,4,603.71,Germany,30,574,150.9275,2,3,2,232,7,Needs Attention
12650,3,1,314.44,France,20,254,314.44,4,1,2,412,7,Promising
12651,335,1,114.0,France,9,78,114.0,1,1,1,111,3,Hibernating
12652,322,2,914.53,France,48,502,457.265,1,2,3,123,6,Hibernating
12653,149,2,2209.85,Israel,37,919,1104.925,1,2,4,124,7,Hibernating
12654,11,5,601.98,Germany,31,264,120.396,4,3,2,432,9,Champions
12656,17,8,3982.72,France,89,1708,497.84,4,4,4,444,12,Champions
12657,11,5,1152.06,France,35,654,230.41199999999998,4,3,3,433,10,Champions
12658,19,1,686.05,Germany,36,320,686.05,3,1,3,313,7,Others
12659,30,1,91.68,France,5,105,91.68,3,1,1,311,5,Promising
12660,11,1,245.1,France,13,127,245.1,4,1,1,411,6,Promising
12662,1,12,3817.08,Germany,129,2040,318.09,4,4,4,444,12,Champions
12664,8,10,4863.88,Finland,10,1202,486.38800000000003,4,4,4,444,12,Champions
12665,325,2,61.75,Germany,3,36,30.875,1,2,1,121,4,Hibernating
12666,359,1,-227.44,Israel,2,-56,-227.44,1,1,1,111,3,Hibernating
12667,58,1,620.13,Finland,33,395,620.13,2,1,2,212,5,Hibernating
12668,7,6,3743.18,Germany,115,1595,623.8633333333333,4,4,4,444,12,Champions
12669,151,4,1607.73,France,98,1114,401.9325,1,3,3,133,7,At Risk
12670,10,6,2986.15,France,58,1391,497.69166666666666,4,4,4,444,12,Champions
12672,330,1,225.89999999999998,France,10,78,225.89999999999998,1,1,1,111,3,Hibernating
12673,5,2,610.52,Germany,42,351,305.26,4,2,2,422,8,Potential Loyalists
12674,12,7,1919.31,France,52,1102,274.1871428571429,4,4,4,444,12,Champions
12676,25,6,1331.39,Sweden,33,670,221.89833333333334,3,4,3,343,10,Loyal Customers
12678,42,13,17588.26,France,105,10899,1352.943076923077,3,4,4,344,11,Loyal Customers
12679,52,9,1058.67,France,45,530,117.63000000000001,2,4,3,243,9,Needs Attention
12680,1,4,862.81,France,33,443,215.7025,4,3,3,433,10,Champions
12681,15,27,13677.59,France,267,7518,506.5774074074074,4,4,4,444,12,Champions
12682,4,31,12288.22,France,209,5575,396.3941935483871,4,4,4,444,12,Champions
12683,4,20,8221.09,France,177,4903,411.0545,4,4,4,444,12,Champions
12684,8,7,2283.63,France,61,1985,326.23285714285714,4,4,4,444,12,Champions
12685,28,6,2863.08,France,117,1523,477.18,3,4,4,344,11,Loyal Customers
12686,372,1,89.14,France,7,107,89.14,1,1,1,111,3,Hibernating
12688,114,1,4873.8099999999995,Israel,171,3028,4873.8099999999995,2,1,4,214,7,Hibernating
12689,26,2,1247.61,France,57,628,623.805,3,2,3,323,8,Needs Attention
12690,206,1,389.01,France,16,106,389.01,1,1,2,112,4,Hibernating
12691,28,6,1035.8,France,21,394,172.63333333333333,3,4,3,343,10,Loyal Customers
12693,121,6,830.96,Germany,35,250,138.49333333333334,2,4,3,243,9,Needs Attention
12694,70,2,869.67,France,32,509,434.835,2,2,3,223,7,Needs Attention
12695,7,4,582.1,France,23,220,145.525,4,3,2,432,9,Champions
12697,21,5,939.02,Sweden,37,499,187.804,3,3,3,333,9,Loyal Customers
12700,8,6,4867.99,France,193,2963,811.3316666666666,4,4,4,444,12,Champions
12701,80,2,797.71,Germany,50,678,398.855,2,2,3,223,7,Needs Attention
12702,20,1,219.0,Germany,12,53,219.0,3,1,1,311,5,Promising
12703,64,2,274.7,Germany,21,161,137.35,2,2,1,221,5,Hibernating
12704,7,10,2220.84,Finland,64,1003,222.084,4,4,4,444,12,Champions
12705,15,14,6814.24,Germany,228,3973,486.7314285714286,4,4,4,444,12,Champions
12707,292,1,603.42,France,33,256,603.42,1,1,2,112,4,Hibernating
12708,30,16,2616.32,Germany,86,1270,163.52,3,4,4,344,11,Loyal Customers
12709,3,26,9294.1,Germany,103,3832,357.4653846153846,4,4,4,444,12,Champions
12710,97,4,1130.57,Germany,75,849,282.6425,2,3,3,233,8,Needs Attention
12712,23,17,4241.63,Germany,59,1044,249.50764705882352,3,4,4,344,11,Loyal Customers
12713,1,1,848.55,Germany,38,508,848.55,4,1,3,413,8,Champions
12714,9,5,4708.86,France,216,3069,941.7719999999999,4,3,4,434,11,Champions
12715,106,1,353.86,Sweden,20,197,353.86,2,1,2,212,5,Hibernating
12716,4,2,1053.49,France,60,708,526.745,4,2,3,423,9,Champions
12717,151,3,980.98,Greece,49,505,326.99333333333334,1,2,3,123,6,Hibernating
12718,71,1,238.25,France,19,203,238.25,2,1,1,211,4,Hibernating
12719,5,3,608.1,France,34,361,202.70000000000002,4,2,2,422,8,Potential Loyalists
12720,3,29,5713.28,Germany,211,4654,197.00965517241377,4,4,4,444,12,Champions
12721,32,7,2628.98,France,134,1954,375.56857142857143,3,4,4,344,11,Loyal Customers
12722,85,6,904.33,France,50,560,150.72166666666666,2,4,3,243,9,Needs Attention
12723,4,5,725.07,France,53,434,145.014,4,3,3,433,10,Champions
12724,5,4,1031.41,France,47,445,257.8525,4,3,3,433,10,Champions
12725,371,1,427.8,Italy,24,164,427.8,1,1,2,112,4,Hibernating
12726,28,7,2609.1,France,57,3143,372.7285714285714,3,4,4,344,11,Loyal Customers
12727,11,9,3947.7,France,109,2085,438.6333333333333,4,4,4,444,12,Champions
12728,71,4,836.33,France,38,419,209.0825,2,3,3,233,8,Needs Attention
12729,114,1,453.01,France,26,233,453.01,2,1,2,212,5,Hibernating
12731,24,14,18793.41,France,109,8366,1342.3864285714285,3,4,4,344,11,Loyal Customers
12732,180,1,236.26000000000002,France,12,111,236.26000000000002,1,1,1,111,3,Hibernating
12733,234,1,383.95,USA,22,137,383.95,1,1,2,112,4,Hibernating
12734,353,1,110.39999999999999,France,4,88,110.39999999999999,1,1,1,111,3,Hibernating
12735,315,2,779.5699999999999,France,38,368,389.78499999999997,1,2,3,123,6,Hibernating
12736,333,1,234.0,France,4,173,234.0,1,1,1,111,3,Hibernating
12738,372,1,155.35,Germany,11,148,155.35,1,1,1,111,3,Hibernating
12739,78,2,1013.04,United Arab Emirates,38,486,506.52,2,2,3,223,7,Needs Attention
12740,64,1,427.6,France,27,342,427.6,2,1,2,212,5,Hibernating
12743,134,2,546.43,Unspecified,114,319,273.215,2,2,2,222,6,Needs Attention
12744,52,10,9120.39,Singapore,178,5234,912.039,2,4,4,244,10,Needs Attention
12747,2,11,4196.01,United Kingdom,42,1275,381.4554545454546,4,4,4,444,12,Champions
12748,1,224,29072.1,United Kingdom,1769,24210,129.7861607142857,4,4,4,444,12,Champions
12749,4,8,3868.2,United Kingdom,160,1422,483.525,4,4,4,444,12,Champions
